노선,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2,15540,15750,31290,-210,9,25,6
1,3668,3533,7201,135,9,25,6
22,1382,1326,2708,56,9,25,6
0,8885,9035,17920,-150,9,25,6
3,9601,10053,19654,-452,9,25,6
25,363,255,618,108,9,25,6
12,5313,4922,10235,391,9,25,6
4,7203,6459,13662,744,9,25,6
1,5870,5684,11554,186,9,25,6
6,1,0,1,1,9,25,6
24,1205,2458,3663,-1253,9,25,6
13,323,347,670,-24,9,25,6
1,25842,25009,50851,833,9,25,6
19,1473,1336,2809,137,9,25,6
6,7448,7100,14548,348,9,25,6
7,2896,2976,5872,-80,9,25,6
3,17731,16303,34034,1428,9,25,6
24,1421,1624,3045,-203,9,25,6
24,4732,3267,7999,1465,9,25,6
25,703,600,1303,103,9,25,6
4,12704,12258,24962,446,9,25,6
1,5891,5879,11770,12,9,25,6
2,17140,17590,34730,-450,9,25,6
21,11485,10415,21900,1070,9,25,6
5,5685,6378,12063,-693,9,25,6
11,15578,14910,30488,668,9,25,6
7,10566,10042,20608,524,9,25,6
2,16567,17228,33795,-661,9,25,6
18,11793,13268,25061,-1475,9,25,6
4,3053,3068,6121,-15,9,25,6
13,5541,5381,10922,160,9,25,6
19,273,202,475,71,9,25,6
18,15390,15911,31301,-521,9,25,6
2,7583,7264,14847,319,9,25,6
5,1947,1927,3874,20,9,25,6
25,2286,2034,4320,252,9,25,6
25,1643,1723,3366,-80,9,25,6
2,15755,18114,33869,-2359,9,25,6
25,564,467,1031,97,9,25,6
12,7136,7288,14424,-152,9,25,6
1,3742,3782,7524,-40,9,25,6
8,4642,4784,9426,-142,9,25,6
4,3081,3013,6094,68,9,25,6
25,2765,2649,5414,116,9,25,6
6,10907,11342,22249,-435,9,25,6
19,772,926,1698,-154,9,25,6
9,4775,4704,9479,71,9,25,6
4,18274,18794,37068,-520,9,25,6
4,9582,10639,20221,-1057,9,25,6
8,11632,10474,22106,1158,9,25,6
10,2702,2852,5554,-150,9,25,6
14,16477,16398,32875,79,9,25,6
1,12428,13522,25950,-1094,9,25,6
5,2204,2587,4791,-383,9,25,6
19,3720,3562,7282,158,9,25,6
5,1,0,1,1,9,25,6
2,23468,21743,45211,1725,9,25,6
8,9984,9466,19450,518,9,25,6
11,37054,36619,73673,435,9,25,6
1,9495,9806,19301,-311,9,25,6
4,1606,1572,3178,34,9,25,6
4,6872,7179,14051,-307,9,25,6
16,3177,3156,6333,21,9,25,6
18,5479,5531,11010,-52,9,25,6
4,1715,1586,3301,129,9,25,6
2,3134,3117,6251,17,9,25,6
14,8315,7616,15931,699,9,25,6
18,5868,5040,10908,828,9,25,6
4,12642,13035,25677,-393,9,25,6
19,1926,1905,3831,21,9,25,6
25,268,237,505,31,9,25,6
11,8973,9416,18389,-443,9,25,6
11,2810,2679,5489,131,9,25,6
21,7256,6969,14225,287,9,25,6
12,54,31,85,23,9,25,6
2,5971,6214,12185,-243,9,25,6
14,4347,4135,8482,212,9,25,6
6,4443,4533,8976,-90,9,25,6
24,4144,3987,8131,157,9,25,6
9,9916,10452,20368,-536,9,25,6
4,4100,4209,8309,-109,9,25,6
1,10784,9252,20036,1532,9,25,6
4,2714,3225,5939,-511,9,25,6
12,11010,12617,23627,-1607,9,25,6
12,5508,5505,11013,3,9,25,6
1,2034,2010,4044,24,9,25,6
1,1201,1231,2432,-30,9,25,6
6,3640,4049,7689,-409,9,25,6
25,5056,4689,9745,367,9,25,6
11,37499,35748,73247,1751,9,25,6
4,7610,7664,15274,-54,9,25,6
25,1572,1642,3214,-70,9,25,6
16,6595,6893,13488,-298,9,25,6
13,4248,4070,8318,178,9,25,6
23,6872,6568,13440,304,9,25,6
25,511,378,889,133,9,25,6
19,3385,3465,6850,-80,9,25,6
23,6539,6425,12964,114,9,25,6
12,4392,3949,8341,443,9,25,6
5,5973,6023,11996,-50,9,25,6
19,2029,1899,3928,130,9,25,6
5,5453,5620,11073,-167,9,25,6
13,1191,2255,3446,-1064,9,25,6
2,4568,4123,8691,445,9,25,6
1,11121,10848,21969,273,9,25,6
1,5090,4888,9978,202,9,25,6
4,2235,2342,4577,-107,9,25,6
1,20498,19247,39745,1251,9,25,6
12,1334,1286,2620,48,9,25,6
5,10185,10193,20378,-8,9,25,6
11,4900,4884,9784,16,9,25,6
12,16333,16309,32642,24,9,25,6
1,8929,9560,18489,-631,9,25,6
10,817,649,1466,168,9,25,6
18,3758,3799,7557,-41,9,25,6
6,9312,8494,17806,818,9,25,6
10,2449,2696,5145,-247,9,25,6
12,3273,2184,5457,1089,9,25,6
3,6962,7616,14578,-654,9,25,6
5,14732,11715,26447,3017,9,25,6
17,14762,14634,29396,128,9,25,6
14,5710,4560,10270,1150,9,25,6
19,1237,2048,3285,-811,9,25,6
16,8668,8218,16886,450,9,25,6
16,3644,3209,6853,435,9,25,6
19,3351,3379,6730,-28,9,25,6
19,3671,3694,7365,-23,9,25,6
13,5433,5075,10508,358,9,25,6
2,4062,4240,8302,-178,9,25,6
13,105,72,177,33,9,25,6
1,56661,52479,109140,4182,9,25,6
7,11060,12497,23557,-1437,9,25,6
1,6450,6699,13149,-249,9,25,6
1,13813,14083,27896,-270,9,25,6
2,2616,2518,5134,98,9,25,6
6,5109,5078,10187,31,9,25,6
6,1994,1334,3328,660,9,25,6
7,10162,9985,20147,177,9,25,6
4,9200,8972,18172,228,9,25,6
22,3365,2751,6116,614,9,25,6
23,7521,7577,15098,-56,9,25,6
17,5432,5487,10919,-55,9,25,6
21,6408,7123,13531,-715,9,25,6
18,8333,8720,17053,-387,9,25,6
0,11082,11778,22860,-696,9,25,6
14,6085,5950,12035,135,9,25,6
0,16766,14433,31199,2333,9,25,6
4,11137,10070,21207,1067,9,25,6
0,19239,15680,34919,3559,9,25,6
2,4910,6146,11056,-1236,9,25,6
0,11724,11369,23093,355,9,25,6
1,21656,24283,45939,-2627,9,25,6
9,3615,3470,7085,145,9,25,6
14,13196,11985,25181,1211,9,25,6
23,5552,5470,11022,82,9,25,6
18,8435,9302,17737,-867,9,25,6
6,7472,6870,14342,602,9,25,6
6,5968,5524,11492,444,9,25,6
14,5551,5160,10711,391,9,25,6
25,3889,3866,7755,23,9,25,6
21,13958,13689,27647,269,9,25,6
9,4416,4238,8654,178,9,25,6
6,6193,6124,12317,69,9,25,6
8,2710,2574,5284,136,9,25,6
5,6047,6067,12114,-20,9,25,6
2,3118,2925,6043,193,9,25,6
25,87,58,145,29,9,25,6
12,5293,5302,10595,-9,9,25,6
11,701,753,1454,-52,9,25,6
11,1046,1028,2074,18,9,25,6
3,16636,17236,33872,-600,9,25,6
5,1847,1691,3538,156,9,25,6
15,1354,1325,2679,29,9,25,6
11,7391,8184,15575,-793,9,25,6
6,5671,5450,11121,221,9,25,6
4,13956,13266,27222,690,9,25,6
7,9364,10404,19768,-1040,9,25,6
6,12172,12058,24230,114,9,25,6
5,2067,1942,4009,125,9,25,6
4,2050,1980,4030,70,9,25,6
6,8251,8725,16976,-474,9,25,6
16,4003,3748,7751,255,9,25,6
0,14495,14825,29320,-330,9,25,6
12,16240,15643,31883,597,9,25,6
18,2464,2467,4931,-3,9,25,6
15,2243,1624,3867,619,9,25,6
10,1860,1902,3762,-42,9,25,6
21,3112,3054,6166,58,9,25,6
3,11537,12785,24322,-1248,9,25,6
15,2322,2065,4387,257,9,25,6
3,13408,15343,28751,-1935,9,25,6
1,4699,5130,9829,-431,9,25,6
4,1651,1607,3258,44,9,25,6
13,4809,4341,9150,468,9,25,6
24,760,777,1537,-17,9,25,6
5,3567,3816,7383,-249,9,25,6
6,5718,5410,11128,308,9,25,6
18,9020,8554,17574,466,9,25,6
15,2258,2043,4301,215,9,25,6
13,814,742,1556,72,9,25,6
10,2858,2650,5508,208,9,25,6
25,1616,1644,3260,-28,9,25,6
15,3971,3730,7701,241,9,25,6
17,7951,7757,15708,194,9,25,6
11,13739,14961,28700,-1222,9,25,6
11,3136,3151,6287,-15,9,25,6
13,4192,3861,8053,331,9,25,6
6,10454,9854,20308,600,9,25,6
4,5212,5054,10266,158,9,25,6
4,4625,4336,8961,289,9,25,6
4,2445,2412,4857,33,9,25,6
6,7884,8498,16382,-614,9,25,6
2,1512,1481,2993,31,9,25,6
5,9053,10550,19603,-1497,9,25,6
12,2316,2146,4462,170,9,25,6
21,6457,6533,12990,-76,9,25,6
3,11746,12211,23957,-465,9,25,6
9,2041,1749,3790,292,9,25,6
1,3029,3387,6416,-358,9,25,6
18,10322,9932,20254,390,9,25,6
5,10678,9866,20544,812,9,25,6
1,24827,25960,50787,-1133,9,25,6
4,4544,4123,8667,421,9,25,6
13,5359,5013,10372,346,9,25,6
3,26368,27845,54213,-1477,9,25,6
19,2420,2449,4869,-29,9,25,6
16,12933,11782,24715,1151,9,25,6
1,58039,57883,115922,156,9,25,6
13,1841,2257,4098,-416,9,25,6
2,10833,10247,21080,586,9,25,6
22,2308,2096,4404,212,9,25,6
4,16064,15085,31149,979,9,25,6
5,5976,5395,11371,581,9,25,6
11,5205,5071,10276,134,9,25,6
13,1015,1082,2097,-67,9,25,6
23,10437,10650,21087,-213,9,25,6
25,19351,19522,38873,-171,9,25,6
12,8669,8763,17432,-94,9,25,6
3,10355,10722,21077,-367,9,25,6
5,3947,3526,7473,421,9,25,6
13,1640,1908,3548,-268,9,25,6
8,4745,4883,9628,-138,9,25,6
22,3037,2582,5619,455,9,24,5
12,6157,5716,11873,441,9,24,5
2,7315,7162,14477,153,9,24,5
7,6062,6467,12529,-405,9,24,5
11,7391,9824,17215,-2433,9,24,5
6,16308,14777,31085,1531,9,24,5
8,16556,15736,32292,820,9,24,5
22,3624,3413,7037,211,9,24,5
13,4769,4637,9406,132,9,24,5
18,7275,7169,14444,106,9,24,5
15,2694,3381,6075,-687,9,24,5
14,5211,4807,10018,404,9,24,5
15,2330,1997,4327,333,9,24,5
1,64356,65323,129679,-967,9,24,5
6,11155,12647,23802,-1492,9,24,5
18,5787,7219,13006,-1432,9,24,5
4,14796,14078,28874,718,9,24,5
7,6957,6902,13859,55,9,24,5
13,2385,2253,4638,132,9,24,5
1,33105,32615,65720,490,9,24,5
4,3875,3463,7338,412,9,24,5
15,1010,930,1940,80,9,24,5
4,4902,5046,9948,-144,9,24,5
14,18988,17930,36918,1058,9,24,5
18,2993,2906,5899,87,9,24,5
8,1775,1591,3366,184,9,24,5
4,4068,3940,8008,128,9,24,5
4,7470,6888,14358,582,9,24,5
6,12188,13461,25649,-1273,9,24,5
1,38565,42121,80686,-3556,9,24,5
16,5438,5473,10911,-35,9,24,5
13,1,0,1,1,9,24,5
10,6668,6031,12699,637,9,24,5
17,13292,13490,26782,-198,9,24,5
2,29406,31402,60808,-1996,9,24,5
2,4647,4417,9064,230,9,24,5
16,9463,8415,17878,1048,9,24,5
4,7592,7205,14797,387,9,24,5
