날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-04-01,경부선,신도림,4038,4019,8057,19,4,1,금
2022-04-01,경부선,신길,8841,7534,16375,1307,4,1,금
2022-04-01,경부선,구로,17700,18684,36384,-984,4,1,금
2022-04-01,경부선,가산디지털단지,17501,20000,37501,-2499,4,1,금
2022-04-01,경부선,금천구청,11476,11476,22952,0,4,1,금
2022-04-01,경부선,석수,9560,8466,18026,1094,4,1,금
2022-04-01,경부선,관악,7143,6733,13876,410,4,1,금
2022-04-01,경부선,안양,24700,24475,49175,225,4,1,금
2022-04-01,경부선,명학,9198,8974,18172,224,4,1,금
2022-04-01,경부선,금정,26295,26830,53125,-535,4,1,금
2022-04-01,경부선,군포,7689,7535,15224,154,4,1,금
2022-04-01,경부선,의왕,9323,9137,18460,186,4,1,금
2022-04-01,경부선,성균관대,15305,14802,30107,503,4,1,금
2022-04-01,경부선,화서,8011,7572,15583,439,4,1,금
2022-04-01,경부선,수원,36528,40171,76699,-3643,4,1,금
2022-04-01,경부선,독산,18103,18236,36339,-133,4,1,금
2022-04-01,경부선,세류,3055,2771,5826,284,4,1,금
2022-04-01,경부선,병점,15293,15421,30714,-128,4,1,금
2022-04-01,경부선,세마,2813,2626,5439,187,4,1,금
2022-04-01,경부선,오산대,3776,3540,7316,236,4,1,금
2022-04-01,경부선,오산,10155,9989,20144,166,4,1,금
2022-04-01,경부선,진위,1881,1577,3458,304,4,1,금
2022-04-01,경부선,송탄,4988,4471,9459,517,4,1,금
2022-04-01,경부선,서정리,7978,6505,14483,1473,4,1,금
2022-04-01,경부선,평택지제,3806,3623,7429,183,4,1,금
2022-04-01,경부선,평택,13991,13271,27262,720,4,1,금
2022-04-01,경부선,성환,4459,3760,8219,699,4,1,금
2022-04-01,경부선,직산,892,809,1701,83,4,1,금
2022-04-01,경부선,두정,7348,6484,13832,864,4,1,금
2022-04-01,경부선,천안,6792,6549,13341,243,4,1,금
2022-04-01,경부선,당정,6273,5819,12092,454,4,1,금
2022-04-01,경부선,서동탄,1354,1338,2692,16,4,1,금
2022-04-01,경부선,광명,3397,3132,6529,265,4,1,금
2022-04-01,경원선,이촌(국립중앙박물관),3553,2795,6348,758,4,1,금
2022-04-01,경원선,서빙고,2031,1897,3928,134,4,1,금
2022-04-01,경원선,한남,3874,3709,7583,165,4,1,금
2022-04-01,경원선,옥수,52,29,81,23,4,1,금
2022-04-01,경원선,응봉,2412,2468,4880,-56,4,1,금
2022-04-01,경원선,왕십리(성동구청),15171,16014,31185,-843,4,1,금
2022-04-01,경원선,청량리(서울시립대입구),16206,16523,32729,-317,4,1,금
2022-04-01,경원선,외대앞,8652,8339,16991,313,4,1,금
